Sweep,Mag,E_N,Beta,Temp
8,-0.0525,0.53,0.25,4
9,-0.02375,0.58,0.25,4
10,0.07625,0.5125,0.25,4
0,-1,2,0.25,4
1,-0.77375,1.3175,0.25,4
2,-0.61375,1.0225,0.25,4
3,-0.42375,0.7775,0.25,4
4,-0.28375,0.65,0.25,4
5,-0.23125,0.66,0.25,4
6,-0.1625,0.6125,0.25,4
7,-0.16375,0.5675,0.25,4
8,-0.10125,0.5625,0.25,4
9,-0.16625,0.5775,0.25,4
10,-0.08875,0.5525,0.25,4
0,-1,2,0.25,4
1,-0.74375,1.2325,0.25,4
2,-0.59125,0.9525,0.25,4
3,-0.43125,0.775,0.25,4
4,-0.325,0.6175,0.25,4
5,-0.27875,0.58,0.25,4
6,-0.24625,0.6525,0.25,4
7,-0.16,0.56,0.25,4
8,-0.07875,0.5775,0.25,4
9,-0.05375,0.6275,0.25,4
10,-0.05125,0.5425,0.25,4
0,-1,2,0.25,4
1,-0.75875,1.32,0.25,4
2,-0.59125,0.9525,0.25,4
3,-0.45625,0.8325,0.25,4
4,-0.3575,0.7225,0.25,4
5,-0.33875,0.74,0.25,4
6,-0.27375,0.6675,0.25,4
7,-0.18625,0.5825,0.25,4
8,-0.1,0.5975,0.25,4
9,-0.1925,0.62,0.25,4
10,-0.13,0.5475,0.25,4
0,-1,2,0.25,4
1,-0.725,1.195,0.25,4
2,-0.54625,0.915,0.25,4
3,-0.45375,0.795,0.25,4
4,-0.3225,0.6675,0.25,4
5,-0.2275,0.655,0.25,4
6,-0.21125,0.6525,0.25,4
7,-0.13125,0.5575,0.25,4
8,-0.0675,0.58,0.25,4
9,-0.04875,0.5325,0.25,4
10,-0.01875,0.5175,0.25,4
0,-1,2,0.25,4
1,-0.7675,1.2825,0.25,4
2,-0.6,0.955,0.25,4
3,-0.46,0.7625,0.25,4
4,-0.36125,0.63,0.25,4
5,-0.285,0.6225,0.25,4
6,-0.12875,0.57,0.25,4
7,-0.12625,0.5425,0.25,4
8,-0.09125,0.5825,0.25,4
9,-0.09875,0.67,0.25,4
